"","x"
"1","가드블루          한    거2006/02/25 5국1 18박대흥(주)케이씨피           18    6    3    6    1    0  225826000       6055"
"2","가람              한    암2008/03/29 3국6 47황영원정기찬                  0    0    0    0    0    0          0          0"
"3","가마동자          뉴    거2004/10/25 6외1 99휴양마김상수                 25    9    3    0    0    0  333593000      13439"
"4","가속돌파          한    암2008/02/18 3국6 33서인석오호극                  4    0    0    4    0    0          0          0"
"5","가속헤로인        한    암2006/04/07 5국4 30정지은권광세                 11    1    3    1    0    0   38853000       1070"
"6","가야명장          미    수2008/02/06 3외4 34신우철(주)늘푸른목장          2    0    0    2    0    0    1415000        801"
"7","가야보배          한    수2007/04/14 4국2 99휴양마명인환                 15    4    2   10    3    0  137444000       3140"
"8","가야전설          한    거2007/04/10 4국4 09지용훈김영진                 14    2    0   10    2    0   42805000       1070"
"9","가을요정          한    암2008/04/20 3국신52박원덕고광숙                  0    0    0    0    0    0          0          0"
"10","갈마일침          호    수2008/12/02 2외신23유재길황철연                  0    0    0    0    0    0          0          0"
"11","감격시대          한    수2006/03/12 5국4 49지용철곽태훈                 32    2    1   14    0    0   69879000       1545"
"12","감동의빛          한    수2008/03/27 3국6 49지용철최성룡                  4    0    0    4    0    0          0          0"
"13","갓이븐            한(포)암2008/03/08 3국6 51김호  허영희                  4    0    0    4    0    0    3850000          0"
"14","강골              호    거2007/08/11 3외4 21임봉춘장세창                  5    0    0    5    0    0    1981000        801"
"15","강력한승리자      한    수2007/02/19 4국4 99휴양마조창석                 12    1    3   11    1    3   44270000       1070"
"16","강력한힘          한    거2007/03/03 4국5 14김일성김재성a                14    0    2   10    0    2   28619000        610"
"17","강손              한    수2008/04/29 3국6 54박천서이동일                  1    0    0    1    0    0          0          0"
"18","강자제패          한    수2006/04/17 5국5 08김춘근이선종                 12    1    0    5    1    0   14575000        400"
"19","강철도령          한    수2007/04/15 4국3 23유재길허건호                 10    3    1    9    3    1   78410000       1970"
"20","강철장사          한    거2007/04/30 4국2 45김순근박재천                 15    2    6   11    2    2  106070000       2960"
"21","강한나라          한    수2005/04/21 6국3 99휴양마홍준기                 28    3    0    0    0    0   74364000       1811"
"22","강한여신          한    암2008/02/20 3국6 24서홍수이필승                  3    0    0    3    0    0    1925000          0"
"23","강한제국          한    수2007/04/09 4국3 13이희영이필승                  9    1    5    9    1    5   67155000       1900"
"24","강한태양          한    수2006/03/01 5국5 02손영표김채형                 16    1    2    8    0    1   33909000        790"
"25","강호장군          한    거2006/02/18 5국3 08김춘근이장한                 28    1    5   11    0    2   99087000       2369"
"26","강호제왕          한    거2005/03/14 6국1 08김춘근이장한                 28    5    2    8    0    0  213731000       5332"
"27","강호최고          한    수2007/03/18 4국6 24서홍수명인환                 19    0    1   13    0    1   12100000        180"
"28","강호탄생          한(포)거2007/04/20 4국2 53김문갑김연호                 11    4    2    9    3    2  126399000       3280"
"29","개마무사          한    수2008/02/27 3국4 01박종곤김광두                  6    2    0    6    2    0   35050000        900"
"30","개척              한    수2007/04/21 4국3 43서정하오경의                 12    1    2   11    1    2   65435000       1650"
"31","갤럭시파티        한    암2008/05/30 3국신07구자흥남승현                  0    0    0    0    0    0          0          0"
"32","갤런트문          한    암2008/03/02 3국신44김학수김명식                  0    0    0    0    0    0          0          0"
"33","거상              한(포)수2007/04/08 4국3 11이인호김철                   15    3    2   11    2    2  106357000       2630"
"34","검기              한    거2008/05/01 3국신99휴양마김항균                  0    0    0    0    0    0          0          0"
"35","검은독수리        한    거2007/03/23 4국5 14김일성일진코스메틱           16    1    0   11    0    0   25991000        680"
"36","검은돌풍          한    수2008/05/24 3국6 37천창기김종욱                  1    0    0    1    0    0          0          0"
"37","검은제국          한    수2008/04/19 3국신17김점오김창희                  0    0    0    0    0    0          0          0"
"38","게이트샤인        한    암2008/02/17 3국4 12서범석이종욱                  3    2    1    3    2    1   43465000       1200"
"39","경손              호    수2008/08/18 2외신23유재길이동일                  0    0    0    0    0    0          0          0"
"40","경희만세          한    암2008/04/20 3국5 51김호  승명호                  5    1    0    5    1    0   16500000        400"
"41","계명의빛          한    암2007/02/28 4국3 03최영주김진태                 13    3    2   10    3    2  105239000       2580"
"42","고운짓            한(포)암2007/03/06 4국3 99휴양마신승열                 12    3    1    6    2    1   82326000       2170"
"43","고황산            한    수2008/02/22 3국5 51김호  승명호                  4    1    1    4    1    1   24025000        610"
"44","골드라벨          한    암2007/04/06 4국6 33서인석이용대                  6    0    0    6    0    0    7150000        220"
"45","골드메인          한(포)수2005/04/12 6국2 99휴양마윤훈현                 31    3    4    9    1    1  136710000       3511"
"46","골드웨이          호    거2006/09/15 4외2 23유재길박정웅                 20    1    3   11    0    2   58793000       3011"
"47","골드자블라니      호    거2007/09/11 3외4 35하재흥장한명                 10    0    0   10    0    0    9056000        971"
"48","골드토퍼          미    암2008/05/10 3외4 15박희철세계건설(주)            4    0    1    4    0    1    6226000       1101"
"49","골든글로리        한(포)암2007/09/15 3국신99휴양마오상철                  0    0    0    0    0    0          0          0"
"50","골든로즈          한    암2006/03/14 5국1 31김효섭김선식                 20    5    3    8    1    1  402450000       6029"
"51","골든맨            한    수2005/04/10 6국신99휴양마최명숙                  0    0    0    0    0    0          0          0"
"52","골든삭스          미    암2008/03/22 3외4 40고옥봉김재영                  3    0    0    3    0    0    3679000        971"
"53","골든오아시스      한    암2006/04/05 5국4 04박윤규김양호                 10    2    0    4    1    0   51972000       1260"
"54","골든윙            한    암2007/03/29 4국4 45김순근김재성                 11    1    1    8    0    1   29542000        840"
"55","골든임팩트        한    수2007/05/11 4국5 49지용철김선식                 18    0    1   13    0    1   32066000        750"
"56","골든캣            한(포)수2005/09/30 5국4 28최상식장재형                 24    1    1   11    1    0   43855000        867"
"57","골든타겟          한    암2008/04/29 3국6 03최영주박성구                  1    0    0    1    0    0          0          0"
"58","골든플로잇        한    암2008/04/04 3국6 20배대선최두호                  1    0    0    1    0    0          0          0"
"59","골저스니스        한    암2005/04/14 6국3 45김순근안태건                 32    2    1   10    0    0   80403500       1744"
"60","공덕이            한    암2008/02/25 3국신54박천서심상춘                  0    0    0    0    0    0          0          0"
"61","공명대로          한    암2008/04/09 3국6 52박원덕명인환                  4    0    0    4    0    0    1375000          0"
"62","공손              한    거2008/04/05 3국6 99휴양마(주)녹원목장            2    0    0    2    0    0          0          0"
"63","과천거장          미    암2007/03/20 4외2 36김양선구자선                 13    2    1    9    0    0   61468000       2921"
"64","과천대륙          한    거2007/02/22 4국6 49지용철정수남                  7    0    0    7    0    0          0          0"
"65","과천마리로        한    암2007/05/19 4국5 03최영주김용래                  7    0    1    5    0    1   13031000        400"
"66","과천번개          한    거2008/05/09 3국6 29배휴준서상주                  2    0    0    2    0    0          0          0"
"67","과천왕자          뉴    거2007/10/12 3외4 08김춘근이장한                  7    0    0    7    0    0          0        801"
"68","과천의꿈          한    암2008/04/26 3국6 47황영원최종환                  0    0    0    0    0    0          0          0"
"69","과천의빛          한    거2005/04/15 6국2 03최영주최종환                 27    3    6    8    0    2  191000000       4443"
"70","과천지존          한(포)수2006/02/22 5국1 19곽영효전영채                 25    5    6    9    1    2  209777000       5779"
"71","과천킹            한    수2008/05/23 3국6 06홍대유서상주                  3    0    0    3    0    0    3300000          0"
"72","과천통치자        한    수2008/04/24 3국5 18박대흥(주)케이씨피            2    1    0    2    1    0   14575000        400"
"73","과천포커스        한    수2008/02/22 3국신02손영표이재원                  0    0    0    0    0    0          0          0"
"74","과천활보          한    수2004/03/03 7국1 02손영표박태훈                 40    4    4    8    0    1  227910000       5649"
"75","관악특급          미    수2008/04/06 3외3 20배대선양길순                  6    2    1    6    2    1   45295000       2691"
"76","관운장            한    수2008/03/25 3국6 14김일성김재성a                 1    0    0    1    0    0          0          0"
"77","광복빛            한(포)암2007/08/15 3국6 18박대흥남승현                  3    0    1    3    0    1    7425000        180"
"78","광속처럼          미    암2006/05/13 5외2 04박윤규권혁인                 14    2    2   10    2    1  112326000       3276"
"79","광야제일          한    수2008/03/11 3국4 21임봉춘임상윤                  3    2    0    3    2    0   35050000        900"
"80","국풍              한    암2007/05/30 4국6 44김학수박재범                  6    0    0    5    0    0    1375000          0"
"81","굿데이            한(포)수2004/04/14 7국1 30정지은김지훈                 30   15    4    7    0    1  587164000      16916"
"82","굿마이웨이        한    수2005/04/16 6국신99휴양마홍준기                  0    0    0    0    0    0          0          0"
"83","굿메시지          한    거2007/04/20 4국4 12서범석오상철                 15    1    2   10    0    1   53889000       1310"
"84","굿스피드          한    암2008/04/16 3국5 53김문갑장석은                  6    0    2    6    0    2   18125000        470"
"85","굿챔프            한    수2008/04/07 3국6 09지용훈조용학                  2    0    0    2    0    0          0          0"
"86","굿초이스          한    암2007/04/05 4국3 10정호익박성구                  9    2    4    8    2    4   83769000       2140"
"87","굿캡틴            한    거2006/04/15 5국3 52박원덕김성두                 29    2    4   11    1    4  111473000       2310"
"88","굿파트너          한    암2008/02/15 3국6 99휴양마장석영                  5    0    0    5    0    0    1375000          0"
"89","굿파티            한    거2006/03/04 5국3 18박대흥남승현                 10    3    2    7    3    1   88319000       2240"
"90","궁니르            한(포)수2008/02/26 3국6 30정지은김상용                  0    0    0    0    0    0          0          0"
"91","그라운드워        미    수2008/03/27 3외4 99휴양마서순배                  2    0    0    2    0    0          0        801"
"92","그랜드머니        한    거2007/03/29 4국2 20배대선이기선                 16    3    5    9    1    2  159698000       3730"
"93","그랜드선더        한(포)거2007/02/03 4국2 99휴양마이기선                 11    5    3    7    2    3  168738000       4930"
"94","그랜드에이스      미    암2008/02/20 3외3 28최상식장재형                  4    2    0    4    2    0   37577000       2181"
"95","그랜드윈          한    수2008/04/13 3국5 20배대선이기선                  1    1    0    1    1    0   14575000        400"
"96","그랜드챔프        한    수2006/02/27 5국2 99휴양마최명숙                 18    4    3    5    0    0  140973000       3640"
"97","그랜드파티        한    암2008/02/19 3국4 48김대근현태봉                  6    2    1    6    2    1   39175000       1080"
"98","그랜드퍼스트      한(포)암2008/02/21 3국3 54박천서서순배                  5    3    0    5    3    0   61610000       1700"
"99","그레이스톤        한    암2007/05/27 4국4 51김호  선우패션                9    1    1    8    1    1   34235000        810"
"100","그레이트샤이      미    암2008/02/16 3외4 18박대흥이영규                  6    0    1    6    0    1    6226000       1101"
"101","그레이트히어로    미    거2006/02/03 5외1 32김윤섭김연호                 19    3    3    9    2    3  129397000       5241"
