"","x"
"1","가드블루          한    거2006/02/25 5국1 18박대흥(주)케이씨피           19    6    3    6    0    0  225826000       6055"
"2","가람              한    암2008/03/29 3국6 47황영원정기찬                  2    0    0    2    0    0    1440000          0"
"3","가마동자          뉴    거2004/10/25 6외1 99휴양마김상수                 25    9    3    0    0    0  333593000      13439"
"4","가속돌파          한    암2008/02/18 3국6 33서인석오호극                  7    0    0    7    0    0          0          0"
"5","가속헤로인        한    암2006/04/07 5국4 30정지은권광세                 13    1    3    3    0    0   41303000       1070"
"6","가야명장          미    수2008/02/06 3외4 99휴양마(주)늘푸른목장          3    0    0    3    0    0    1415000        801"
"7","가야보배          한    수2007/04/14 4국2 49지용철명인환                 16    4    2    9    2    0  142424000       3140"
"8","가을요정          한    암2008/04/20 3국신52박원덕고광숙                  0    0    0    0    0    0          0          0"
"9","갈마일침          호    수2008/12/02 2외4 23유재길황철연                  0    0    0    0    0    0          0        801"
"10","감격시대          한    수2006/03/12 5국4 49지용철곽태훈                 34    2    1   14    0    0   69879000       1545"
"11","감동의빛          한    수2008/03/27 3국5 49지용철최성룡                  7    1    0    7    1    0   19584000        510"
"12","갓이븐            한(포)암2008/03/08 3국6 99휴양마허영희                  5    0    0    5    0    0    3850000          0"
"13","강골              호    거2007/08/11 3외4 21임봉춘장세창                  6    0    0    6    0    0    6531000        971"
"14","강력한승리자      한    수2007/02/19 4국4 49지용철조창석                 13    1    3   10    1    1   44270000       1070"
"15","강력한힘          한    거2007/03/03 4국5 14김일성김재성a                17    0    2   11    0    2   30839000        610"
"16","강손              한    거2008/04/29 3국6 54박천서이동일                  3    0    0    3    0    0          0          0"
"17","강자제패          한    수2006/04/17 5국5 08김춘근이선종                 14    1    1    6    1    1   21400000        700"
"18","강철도령          한    수2007/04/15 4국3 23유재길허건호                 12    3    1   11    3    1   82490000       1970"
"19","강철장사          한    거2007/04/30 4국2 45김순근박재천                 17    2    6   11    1    2  117690000       3240"
"20","강한나라          한    수2005/04/21 6국3 99휴양마홍준기                 28    3    0    0    0    0   74364000       1811"
"21","강한여신          한    암2008/02/20 3국6 24서홍수이필승                  5    0    0    5    0    0    3653000          0"
"22","강한제국          한    수2007/04/09 4국3 13이희영이필승                 10    1    5    9    1    5   67155000       1900"
"23","강한태양          한    수2006/03/01 5국5 02손영표김채형                 18    1    2    9    0    1   38204000        790"
"24","강호장군          한    거2006/02/18 5국3 08김춘근이장한                 31    1    5   12    0    2   99087000       2369"
"25","강호최고          한    수2007/03/18 4국5 24서홍수명인환                 21    0    3   13    0    3   27703000        570"
"26","강호탄생          한(포)거2007/04/20 4국2 53김문갑김연호                 13    4    2   10    3    2  126399000       3280"
"27","개마무사          한    수2008/02/27 3국4 01박종곤김광두                  7    2    0    7    2    0   37500000        900"
"28","개척              한    수2007/04/21 4국3 43서정하오경의                 14    1    2   12    1    2   65435000       1650"
"29","갤럭시파티        한    암2008/05/30 3국신07구자흥남승현                  0    0    0    0    0    0          0          0"
"30","갤런트문          한    암2008/03/02 3국6 44김학수김명식                  2    0    0    2    0    0    1728000          0"
"31","거상              한(포)수2007/04/08 4국2 11이인호김철                   16    3    3   10    2    3  120637000       3010"
"32","검기              한    거2008/05/01 3국신41신삼영김항균                  0    0    0    0    0    0          0          0"
"33","검은독수리        한    거2007/03/23 4국5 14김일성일진코스메틱           18    1    0   12    0    0   31171000        800"
"34","검은돌풍          한    수2008/05/24 3국6 37천창기김종욱                  2    0    0    2    0    0    1440000          0"
"35","검은제국          한    수2008/04/19 3국6 99휴양마김창희                  1    0    0    1    0    0          0          0"
"36","게이트샤인        한    암2008/02/17 3국4 33서인석이종욱                  3    2    1    3    2    1   43465000       1200"
"37","경손              호    수2008/08/18 2외4 23유재길이동일                  2    0    0    2    0    0          0        801"
"38","경희만세          한    암2008/04/20 3국4 51김호  승명호                  7    2    0    7    2    0   44720000       1020"
"39","계명의빛          한    암2007/02/28 4국3 03최영주김진태                 14    3    2    9    2    2  109319000       2580"
"40","고블샷            한    수2008/03/07 3국신07구자흥포트폴리오              0    0    0    0    0    0          0          0"
"41","고운짓            한(포)암2007/03/06 4국3 99휴양마신승열                 12    3    1    4    1    0   82326000       2170"
"42","고황산            한    수2008/02/22 3국4 51김호  승명호                  6    2    1    6    2    1   44005000       1110"
"43","골드라벨          한    암2007/04/06 4국6 33서인석이용대                  7    0    0    7    0    0    7150000        220"
"44","골드메인          한(포)수2005/04/12 6국2 54박천서윤훈현                 32    3    4    8    1    0  136710000       3511"
"45","골드자블라니      호    거2007/09/11 3외4 35하재흥장한명                 12    0    0   11    0    0   13606000       1141"
"46","골드토퍼          미    암2008/05/10 3외3 15박희철세계건설(주)            6    1    1    6    1    1   34306000       1791"
"47","골든글로리        한(포)암2007/09/15 3국신99휴양마오상철                  0    0    0    0    0    0          0          0"
"48","골든로즈          한    암2006/03/14 5국1 31김효섭김선식                 21    5    3    8    1    1  402450000       6029"
"49","골든맨            한    수2005/04/10 6국신99휴양마최명숙                  0    0    0    0    0    0          0          0"
"50","골든삭스          미    암2008/03/22 3외4 40고옥봉김재영                  5    0    1    5    0    1   17719000       1271"
"51","골든오아시스      한    암2006/04/05 5국4 99휴양마김양호                 11    2    0    3    1    0   51972000       1260"
