"","x"
"1",""
"2",""
"3","제목 : 11년05월15일(일)  제 1경주"
"4",""
"5","(서울) 제36일 1200M 국6    마령        경주명 : 일반                        "
"6","경주조건:     350점이하  3세                        날씨:맑음 주로:양호  (9%)"
"7","순위상금: 15,552천원   6,048천원   4,032천원   1,728천원   1,440천원"
"8","부가상금:      0천원       0천원       0천원"
"9","────────────────────────────────────────"
"10","순위 마번    마    명     산지  성별 연령 부담중량 기수명 조교사명  마 주 명"
"11","────────────────────────────────────────"
"12","  1    9  팔공             한     수     3    54.0   오경환 황영원   이승택           "
"13","  2    5  코리아챔프       한     수     3    54.0   전덕용 박흥진   (주)늘푸른목장   "
"14","  3    2  피콜로어게인     한(포) 수     3    55.0   함완식 김효섭   김선식           "
"15","  4    8  여의주           한     암     3    53.0   유상완 김춘근   이보원           "
"16","  5   12  쾌속질주         한     암     3    53.0   김옥성 김순근   김재성           "
"17","  6    6  에이피발레       한     암     3    53.0   문세영 김학수   이덕자           "
"18","  7    4  해피볼포니       한     암     3    53.0   박병윤 정호익   김병현           "
"19","  8   11  서울황태자       한     수     3    50.0   김정준 신우철   이도명           "
"20","  9    7  다이아몬드휠     한     수     3    54.0   조성곤 안병기   박치문           "
"21"," 10   10  맹호출림         한     거     3    52.0   박상우 김일성   임상윤           "
"22"," 11    1  톱트렉           한     거     3    54.0   김영진 박천서   유길상           "
"23"," 12    3  필잇올데이       한     암     3    53.0   김귀배 황영원   이종욱           "
"24","────────────────────────────────────────"
"25","순위 마번    마      명    마 체 중 기  록  위  차 S1F-1C-2C-3C-4C-G1F"
"26","────────────────────────────────────────"
"27","  1    9  팔공             481( -2) 1:18.0            6-  -  - 5- 5- 4"
"28","  2    5  코리아챔프       485( +1) 1:18.4  2         3-  -  - 2- 2- 1"
"29","  3    2  피콜로어게인     493( +4) 1:18.6  1½       5-  -  - 4- 4- 5"
"30","  4    8  여의주           500( +7) 1:19.0  1¾       9-  -  -10- 9-10"
"31","  5   12  쾌속질주         438( -1) 1:19.0  ½        8-  -  - 6- 7- 6"
"32","  6    6  에이피발레       452(-12) 1:19.1  ¾        2-  -  - 3- 3- 3"
"33","  7    4  해피볼포니       452( +3) 1:19.2  목       10-  -  - 8- 8- 8"
"34","  8   11  서울황태자       477( -6) 1:19.3  ½        7-  -  - 9-12-12"
"35","  9    7  다이아몬드휠     458( -5) 1:19.3  머리      1-  -  - 1- 1- 2"
"36"," 10   10  맹호출림         448( +0) 1:19.6  2        12-  -  -11-10- 9"
"37"," 11    1  톱트렉           435( +9) 1:20.0  2½       4-  -  - 7- 6- 7"
"38"," 12    3  필잇올데이       442( +4) 1:20.9  5        11-  -  -12-11-11"
"39","────────────────────────────────────────"
"40","순위 마번    G-3Ｆ   S-1F  １코너  ２코너  ３코너  ４코너    G-1F  단승식 연승식"
"41","────────────────────────────────────────"
"42","  1    9   39.7    0:14.2                  0:25.6  0:44.8  13.7     114.5    9.6"
"43","  2    5   40.5    0:14.1                  0:25.3  0:44.6  14.2      29.6    9.7"
"44","  3    2   40.3    0:14.2                  0:25.6  0:44.8  13.9       7.9    1.5"
"45","  4    8   40.0    0:14.5                  0:26.3  0:45.7  13.3       6.5    1.7"
"46","  5   12   40.5    0:14.2                  0:25.6  0:45.3  13.9       8.2    1.7"
"47","  6    6   41.0    0:13.9                  0:25.6  0:44.7  14.8       1.4    1.1"
"48","  7    4   40.5    0:14.5                  0:25.9  0:45.5  13.9     371.5   49.0"
"49","  8   11   39.8    0:14.2                  0:25.9  0:46.5  13.2      46.6    7.6"
