"","x"
"1",""
"2",""
"3","제목 : 11년06월25일(토)  제 1경주"
"4",""
"5","(서울) 제47일 1200M 국5    마령        경주명 : 일반                        "
"6","경주조건:     800점이하  3세이상                    날씨:흐림 주로:불량  (20%)"
"7","순위상금: 19,980천원   7,770천원   5,180천원   2,220천원   1,850천원"
"8","부가상금:      0천원       0천원       0천원"
"9","────────────────────────────────────────"
"10","순위 마번    마    명     산지  성별 연령 부담중량 기수명 조교사명  마 주 명"
"11","────────────────────────────────────────"
"12","  1    3  드림블루         한     암     3    53.0   문세영 안병기   최건호           "
"13","  2    7  미소천국         한     암     3    53.0   함완식 천창기   임상윤           "
"14","  3    4  야후이벤트       한     암     4    54.0   이상혁 김효섭   박성구           "
"15","  4   11  스톰윈디         한(포) 암     3    53.0   박태종 곽영효   장용석           "
"16","  5    9  퀸비             한     암     3    53.0   정기용 박대흥   (주)케이씨피     "
"17","  6   12  휘영청           한(포) 암     3    53.0   조경호 정호익   권도윤           "
"18","  7    1  금복이           한     암     5    51.0   김정준 신삼영   배태곤           "
"19","  8    5  올웨이즈윈       한     암     4    54.0   신형철 이인호   김명식           "
"20","  9    8  플러스원         한     암     3    51.0   김혜선 정호익   이건행           "
"21"," 10    6  여왕폐하         한     암     3    53.0   박병윤 최상식   박기흥           "
"22"," 11    2  오뚜기처럼       한     암     3    53.0   오경환 구자흥   정일권           "
"23"," 12   10  매직버드         한     암     4    54.0   이기회 김학수   안영환           "
"24","────────────────────────────────────────"
"25","순위 마번    마      명    마 체 중 기  록  위  차 S1F-1C-2C-3C-4C-G1F"
"26","────────────────────────────────────────"
"27","  1    3  드림블루         428( -4) 1:17.0            5-  -  - 6- 9- 5"
"28","  2    7  미소천국         434( +5) 1:17.2  1         3-  -  - 3- 2- 1"
"29","  3    4  야후이벤트       473(-11) 1:17.5  1½       9-  -  - 9- 8- 6"
"30","  4   11  스톰윈디         436( +2) 1:17.7  1½       7-  -  - 8- 7- 3"
"31","  5    9  퀸비             424( +0) 1:17.7  코        4-  -  - 5- 3- 2"
"32","  6   12  휘영청           433( +1) 1:17.9  ¾       12-  -  -11-11-10"
"33","  7    1  금복이           455(+10) 1:18.2  2         1-  -  - 2- 4- 4"
"34","  8    5  올웨이즈윈       435( +6) 1:18.4  ¾       11-  -  -10-10-11"
"35","  9    8  플러스원         432( +1) 1:18.8  3         8-  -  - 7- 5- 8"
"36"," 10    6  여왕폐하         512(-11) 1:19.0  ¾        6-  -  - 4- 6- 9"
"37"," 11    2  오뚜기처럼       477( +2) 1:20.0  6         2-  -  - 1- 1- 7"
"38"," 12   10  매직버드         444(+27) 1:23.4  20       10-  -  -12-12-12"
"39","────────────────────────────────────────"
"40","순위 마번    G-3Ｆ   S-1F  １코너  ２코너  ３코너  ４코너    G-1F  단승식 연승식"
"41","────────────────────────────────────────"
"42","  1    3   37.5    0:14.0                  0:26.0  0:46.0  12.3       5.3    1.8"
"43","  2    7   38.5    0:13.7                  0:25.7  0:45.2  13.1      13.2    2.7"
"44","  3    4   38.2    0:14.2                  0:26.3  0:45.8  12.7     189.3   26.6"
"45","  4   11   38.7    0:14.0                  0:26.0  0:45.5  13.2       2.0    1.2"
"46","  5    9   38.9    0:13.9                  0:25.9  0:45.2  13.2      10.0    2.9"
"47","  6   12   38.3    0:14.8                  0:26.7  0:46.2  12.7       7.0    2.0"
"48","  7    1   39.4    0:13.7                  0:25.7  0:45.3  13.5      41.1    7.1"
"49","  8    5   39.0    0:14.6                  0:26.3  0:46.0  13.2     144.7   39.9"
