"","x"
"1",""
"2",""
"3","제목 : 11년04월23일(토)  제 1경주"
"4",""
"5","(서울) 제29일 1200M 국6    마령        경주명 : 일반                        "
"6","경주조건:     350점이하  3세                        날씨:맑음 주로:포화  (18%)"
"7","순위상금: 15,552천원   6,048천원   4,032천원   1,728천원   1,440천원"
"8","부가상금:      0천원       0천원       0천원"
"9","────────────────────────────────────────"
"10","순위 마번    마    명     산지  성별 연령 부담중량 기수명 조교사명  마 주 명"
"11","────────────────────────────────────────"
"12","  1    5  플랑도르         한     수     3    54.0   함완식 천창기   민홍기           "
"13","  2    4  새벽날개         한     수     3    54.0   최원준 지용철   명인환           "
"14","  3    6  화려한질주       한     암     3    53.0   정기용 박윤규   신건호           "
"15","  4    7  등태산           한     수     3    54.0   정평수 지용훈   박시용           "
"16","  5    9  한가위           한(포) 암     3    53.0   박병윤 하재흥   김순건           "
"17","  6    2  궁니르           한(포) 수     3    54.0   최범현 정지은   김상용           "
"18","  7    1  실비아그린       한     암     3    53.0   부민호 정호익   백국인           "
"19","  8    8  깜짝연출         한     암     3    51.0   장추열 유재길   진교원           "
"20","  9    3  운기             한     암     3    53.0   문정균 신삼영   김항균           "
"21","────────────────────────────────────────"
"22","순위 마번    마      명    마 체 중 기  록  위  차 S1F-1C-2C-3C-4C-G1F"
"23","────────────────────────────────────────"
"24","  1    5  플랑도르         457( -4) 1:19.5            4-  -  - 4- 4- 3"
"25","  2    4  새벽날개         488( -7) 1:19.7  1¼       3-  -  - 3- 3- 2"
"26","  3    6  화려한질주       494( +1) 1:19.8  ½        9-  -  - 7- 6- 6"
"27","  4    7  등태산           491( +2) 1:19.9  ¾        5-  -  - 5- 5- 5"
"28","  5    9  한가위           460( +5) 1:19.9  머리      1-  -  - 1- 1- 1"
"29","  6    2  궁니르           471( -4) 1:20.3  2½       8-  -  - 8- 8- 8"
"30","  7    1  실비아그린       447( +7) 1:20.4  ½        2-  -  - 2- 2- 4"
"31","  8    8  깜짝연출         427( -7) 1:20.7  1¾       7-  -  - 6- 7- 7"
"32","  9    3  운기             466(+13) 1:26.1  30        6-  -  - 9- 9- 9"
"33","────────────────────────────────────────"
"34","순위 마번    G-3Ｆ   S-1F  １코너  ２코너  ３코너  ４코너    G-1F  단승식 연승식"
"35","────────────────────────────────────────"
"36","  1    5   41.3    0:14.0                  0:25.5  0:44.6  14.9       2.8    1.2"
"37","  2    4   41.5    0:14.0                  0:25.5  0:44.6  15.1       7.8    1.4"
"38","  3    6   40.4    0:14.7                  0:26.8  0:45.8  14.3      23.6    3.4"
"39","  4    7   40.7    0:14.2                  0:26.5  0:45.6  14.6      52.8    3.5"
"40","  5    9   42.1    0:13.8                  0:25.3  0:44.4  15.4      36.1    5.2"
"41","  6    2   40.4    0:14.7                  0:27.0  0:46.4  14.2      23.2    2.4"
"42","  7    1   42.2    0:13.9                  0:25.5  0:44.6  15.4       1.6    1.1"
"43","  8    8   41.2    0:14.5                  0:26.7  0:46.0  14.6     136.6   12.5"
"44","  9    3   44.8    0:14.5                  0:27.5  0:48.0  16.8     110.2   14.6"
"45","────────────────────────────────────────"
"46","(복승식 배당률)"
"47","           1- 2    12.3  2- 9    95.2  4- 7    79.6  6- 9   144.6  9-10     0.0"
"48","           1- 3   158.6  2-10     0.0  4- 8   341.2  6-10     0.0  9-11     0.0"
"49","           1- 4     4.4  2-11     0.0  4- 9    53.3  6-11     0.0  9-12     0.0"
"50","           1- 5     2.2  2-12     0.0  4-10     0.0  6-12     0.0  9-13     0.0"
