"","x"
"1",""
"2",""
"3","제목 : 11년04월17일(일)  제 1경주"
"4",""
"5","(서울) 제28일 1200M 국6    마령        경주명 : 일반                        "
"6","경주조건:     350점이하  3세이상                    날씨:맑음 주로:건조  (3%)"
"7","순위상금: 15,552천원   6,048천원   4,032천원   1,728천원   1,440천원"
"8","부가상금:      0천원       0천원       0천원"
"9","────────────────────────────────────────"
"10","순위 마번    마    명     산지  성별 연령 부담중량 기수명 조교사명  마 주 명"
"11","────────────────────────────────────────"
"12","  1    3  꿈꾸는세상       한     암     3    53.0   조인권 김호     이용대           "
"13","  2    4  천둥번쩍         한     암     3    50.0   김혜선 홍대유   이종원           "
"14","  3    1  쾌속질주         한     암     3    53.0   최시대 김순근   김재성           "
"15","  4    6  아케자           한     암     3    53.0   김철호 정지은   (주)대명종합건설 "
"16","  5   12  스위트멜로디     한     암     4    54.0   부민호 최혜식   박용훈           "
"17","  6    8  승리공작         한     암     3    53.0   박금만 김대근   한일사료         "
"18","  7    9  튼튼제일         한     암     4    51.0   이기웅 손영표   유무성           "
"19","  8   10  기린으뜸         한     암     4    50.0   이강서 김순근   김동호           "
"20","  9   11  댄싱하이츠       한     암     3    53.0   한성열 김학수   지대섭           "
"21"," 10    2  프리랜드         한     암     4    54.0   문세영 하재흥   우순근           "
"22"," 11    5  핫탭스타         한(포) 암     4    51.0   김정준 김학수   안영환           "
"23"," 12    7  익셉셔널         한     암     3    53.0   신형철 임봉춘   김현래           "
"24","────────────────────────────────────────"
"25","순위 마번    마      명    마 체 중 기  록  위  차 S1F-1C-2C-3C-4C-G1F"
"26","────────────────────────────────────────"
"27","  1    3  꿈꾸는세상       450( -6) 1:18.3            1-  -  - 1- 1- 1"
"28","  2    4  천둥번쩍         431(-15) 1:18.6  1½       2-  -  - 2- 2- 2"
"29","  3    1  쾌속질주         439( -6) 1:18.8  1         3-  -  - 4- 3- 3"
"30","  4    6  아케자           476( -3) 1:19.4  3         4-  -  - 5- 4- 4"
"31","  5   12  스위트멜로디     448(+13) 1:19.5  ½        9-  -  - 9- 8- 7"
"32","  6    8  승리공작         450( +2) 1:19.7  1¼       5-  -  - 3- 5- 5"
"33","  7    9  튼튼제일         447( -3) 1:19.7  목        8-  -  - 7- 7- 6"
"34","  8   10  기린으뜸         426( -4) 1:19.9  1        11-  -  -10-12- 9"
"35","  9   11  댄싱하이츠       489( -3) 1:20.0  1        12-  -  -12-10-12"
"36"," 10    2  프리랜드         420( -3) 1:20.4  2         6-  -  - 6- 6- 8"
"37"," 11    5  핫탭스타         393( -5) 1:20.9  2½      10-  -  -11-11-10"
"38"," 12    7  익셉셔널         455( -3) 1:21.2  2         7-  -  - 8- 9-11"
"39","────────────────────────────────────────"
"40","순위 마번    G-3Ｆ   S-1F  １코너  ２코너  ３코너  ４코너    G-1F  단승식 연승식"
"41","────────────────────────────────────────"
"42","  1    3   40.0    0:13.8                  0:25.4  0:45.1  13.7       2.6    1.1"
"43","  2    4   40.1    0:13.8                  0:25.6  0:45.3  13.8       2.3    1.2"
"44","  3    1   40.2    0:14.0                  0:25.8  0:45.4  13.6      13.3    2.9"
"45","  4    6   40.7    0:14.0                  0:25.8  0:45.5  14.2      20.8    4.9"
"46","  5   12   40.3    0:14.2                  0:26.3  0:45.9  14.2       8.1    2.2"
"47","  6    8   41.0    0:14.0                  0:25.7  0:45.5  14.5      12.5    2.6"
"48","  7    9   40.8    0:14.2                  0:26.1  0:45.7  14.4      70.6    9.1"
"49","  8   10   40.5    0:14.5                  0:26.5  0:46.1  14.1     134.2   18.3"
