"","x"
"1",""
"2",""
"3","제목 : 11년04월16일(토)  제 1경주"
"4",""
"5","(서울) 제27일 1200M 국6    마령        경주명 : 일반                        "
"6","경주조건:     350점이하  3세                        날씨:맑음 주로:건조  (3%)"
"7","순위상금: 15,552천원   6,048천원   4,032천원   1,728천원   1,440천원"
"8","부가상금:      0천원       0천원       0천원"
"9","────────────────────────────────────────"
"10","순위 마번    마    명     산지  성별 연령 부담중량 기수명 조교사명  마 주 명"
"11","────────────────────────────────────────"
"12","  1    9  자금성           한     암     3    53.0   문세영 정호익   권도윤           "
"13","  2   11  에이피발레       한     암     3    53.0   한성열 김학수   이덕자           "
"14","  3    8  메이비           한     수     3    54.0   최범현 우창구   변갑한           "
"15","  4   12  헌팅타임         한(포) 거     3    54.0   유상완 김점오   장석영           "
"16","  5    6  우주강국         한     수     3    51.0   김혜선 김일성   김재성a          "
"17","  6    2  서라벌영웅       한     거     3    52.0   박시천 박천서   이상승           "
"18","  7   10  해탈             한     수     3    54.0   부민호 서범석   고창협           "
"19","  8    7  어네스트존       한     수     3    54.0   조인권 김호     김휘남           "
"20","  9    3  본지그           한     암     3    53.0   김동균 홍대유   지대섭           "
"21"," 10    4  우리야           한     거     3    54.0   하마다 배대선   변영남           "
"22"," 11    1  센대로           한     수     3    54.0   박태종 박희철   유명열           "
"23","       5  바다리미트       한(포) 거     3    54.0   정기용 배휴준   박정재           "
"24","────────────────────────────────────────"
"25","순위 마번    마      명    마 체 중 기  록  위  차 S1F-1C-2C-3C-4C-G1F"
"26","────────────────────────────────────────"
"27","  1    9  자금성           443( -2) 1:18.3            5-  -  - 6- 6- 6"
"28","  2   11  에이피발레       464( +8) 1:18.3  ½        3-  -  - 2- 3- 2"
"29","  3    8  메이비           464(-10) 1:18.3  머리      7-  -  - 5- 4- 3"
"30","  4   12  헌팅타임         465(+11) 1:18.4  ½       11-  -  - 4- 2- 1"
"31","  5    6  우주강국         438(-10) 1:18.6  1¼       6-  -  - 8- 8- 8"
"32","  6    2  서라벌영웅       452( +3) 1:18.6  코        8-  -  - 9- 9- 7"
"33","  7   10  해탈             492( -1) 1:18.7  ½        1-  -  - 3- 5- 4"
"34","  8    7  어네스트존       483(-10) 1:19.4  4         2-  -  - 1- 1- 5"
"35","  9    3  본지그           472( -4) 1:19.5  1        10-  -  -10-10-10"
"36"," 10    4  우리야           459(-13) 1:19.5  코        4-  -  - 7- 7- 9"
"37"," 11    1  센대로           522( +6) 1:19.7  ¾        9-  -  -11-11-11"
"38","       5  바다리미트       496(-11) 0:00.0  출발제외   -  -  -  -  -  "
"39","────────────────────────────────────────"
"40","순위 마번    G-3Ｆ   S-1F  １코너  ２코너  ３코너  ４코너    G-1F  단승식 연승식"
"41","────────────────────────────────────────"
"42","  1    9   38.4    0:14.6                  0:26.9  0:46.3  12.8      34.1    5.8"
"43","  2   11   39.0    0:14.3                  0:26.5  0:45.9  13.4       6.6    1.6"
"44","  3    8   38.8    0:14.8                  0:26.8  0:46.1  13.2      10.9    2.7"
"45","  4   12   39.3    0:15.2                  0:26.6  0:45.6  13.5       3.7    1.6"
"46","  5    6   38.6    0:14.8                  0:27.1  0:46.5  12.9      30.3    4.3"
"47","  6    2   38.3    0:15.0                  0:27.4  0:46.8  12.9      10.7    2.0"
"48","  7   10   39.1    0:14.3                  0:26.6  0:46.2  13.5       1.9    1.2"
"49","  8    7   40.3    0:14.3                  0:26.2  0:45.6  14.2      64.5   15.3"
"50","  9    3   39.1    0:15.2                  0:27.4  0:46.8  13.4      91.1   13.9"
