"","x"
"1",""
"2",""
"3","제목 : 11년05월08일(일)  제 1경주"
"4",""
"5","(서울) 제34일 1200M 국6    마령        경주명 : 일반                        "
"6","경주조건:     350점이하  3세이상                    날씨:맑음 주로:양호  (7%)"
"7","순위상금: 15,552천원   6,048천원   4,032천원   1,728천원   1,440천원"
"8","부가상금:      0천원       0천원       0천원"
"9","────────────────────────────────────────"
"10","순위 마번    마    명     산지  성별 연령 부담중량 기수명 조교사명  마 주 명"
"11","────────────────────────────────────────"
"12","  1   11  팔기군           한     수     3    54.0   정평수 지용훈   남기태           "
"13","  2    2  스윙맘보         한     암     4    54.0   박태종 박흥진   (주)늘푸른목장   "
"14","  3    4  보아이디얼       한     수     4    56.0   문정균 김순근   안태건           "
"15","  4    8  브레이브마하     한     거     3    54.0   박을운 구자흥   청호컴넷(주)     "
"16","  5    3  분수령           한     암     3    53.0   부민호 정호익   김정철           "
"17","  6    5  무브온           한     암     4    54.0   오경환 박종곤   이방훈           "
"18","  7   12  파이널퀸         한     암     4    50.0   이강서 안병기   이건행           "
"19","  8    1  아리수           한     암     4    54.0   함완식 천창기   천병득           "
"20","  9    7  기린으뜸         한     암     4    54.0   이기회 김순근   김동호           "
"21"," 10   10  튼튼제일         한     암     4    51.0   이기웅 손영표   유무성           "
"22"," 11    9  핫탭스타         한(포) 암     4    51.0   김정준 김학수   안영환           "
"23"," 12    6  산록도로         한     거     4    56.0   정기용 김점오   강종우           "
"24","────────────────────────────────────────"
"25","순위 마번    마      명    마 체 중 기  록  위  차 S1F-1C-2C-3C-4C-G1F"
"26","────────────────────────────────────────"
"27","  1   11  팔기군           542( +9) 1:16.7            6-  -  - 4- 4- 1"
"28","  2    2  스윙맘보         439( -2) 1:17.7  6         8-  -  - 7- 5- 4"
"29","  3    4  보아이디얼       418( -6) 1:18.0  1¾       2-  -  - 2- 2- 3"
"30","  4    8  브레이브마하     507(+18) 1:18.2  1         9-  -  - 9- 9- 6"
"31","  5    3  분수령           427( +1) 1:18.2  목        1-  -  - 1- 1- 2"
"32","  6    5  무브온           450( +4) 1:18.5  1¾       7-  -  - 8-10- 8"
"33","  7   12  파이널퀸         433(+12) 1:18.6  ¾       11-  -  -12-11- 9"
"34","  8    1  아리수           409( -7) 1:18.7  머리      3-  -  - 3- 3- 5"
"35","  9    7  기린으뜸         432( +6) 1:18.7  ½       12-  -  -11-12-11"
"36"," 10   10  튼튼제일         447( +0) 1:19.3  3         5-  -  - 6- 7-10"
"37"," 11    9  핫탭스타         395( +2) 1:19.6  1½      10-  -  -10- 8- 7"
"38"," 12    6  산록도로         405( -1) 1:20.2  4         4-  -  - 5- 6-12"
"39","────────────────────────────────────────"
"40","순위 마번    G-3Ｆ   S-1F  １코너  ２코너  ３코너  ４코너    G-1F  단승식 연승식"
"41","────────────────────────────────────────"
"42","  1   11   38.4    0:14.3                  0:25.7  0:44.9  13.0       1.5    1.0"
"43","  2    2   39.2    0:14.5                  0:26.1  0:45.1  13.3      13.0    2.5"
"44","  3    4   39.8    0:14.1                  0:25.4  0:44.7  13.8      17.0    3.6"
"45","  4    8   39.2    0:14.6                  0:26.2  0:45.7  13.5       4.2    1.3"
"46","  5    3   40.2    0:14.1                  0:25.4  0:44.6  14.0     240.9   21.4"
"47","  6    5   39.4    0:14.4                  0:26.1  0:45.9  13.5      49.5   10.6"
"48","  7   12   39.3    0:14.8                  0:26.7  0:46.0  13.3      30.4    3.1"
"49","  8    1   40.4    0:14.3                  0:25.7  0:44.9  14.1      10.6    1.9"
