"","x"
"1",""
"2",""
"3","제목 : 11년06월12일(일)  제 1경주"
"4",""
"5","(서울) 제44일 1200M 국6    마령        경주명 : 일반                        "
"6","경주조건:     350점이하  3세                        날씨:맑음 주로:건조  (4%)"
"7","순위상금: 15,552천원   6,048천원   4,032천원   1,728천원   1,440천원"
"8","부가상금:      0천원       0천원       0천원"
"9","────────────────────────────────────────"
"10","순위 마번    마    명     산지  성별 연령 부담중량 기수명 조교사명  마 주 명"
"11","────────────────────────────────────────"
"12","  1    3  사일런트준       한     거     3    54.0   정기용 박대흥   지원철           "
"13","  2    4  코리아챔프       한     수     3    54.0   전덕용 박흥진   (주)늘푸른목장   "
"14","  3    6  여의주           한     암     3    53.0   함완식 김춘근   이보원           "
"15","  4    2  본스키           한     암     3    53.0   마이   김순근   청호컴넷(주)     "
"16","  5    8  에버마스터       한     거     3    54.0   문정균 배휴준   권택종           "
"17","  6    1  초원의아침       한     거     3    54.0   조경호 정호익   조동식           "
"18","  7    7  화산연승         한     암     3    53.0   오경환 박종곤   고광숙           "
"19","  8   10  맹호출림         한     거     3    52.0   박상우 김일성   임상윤           "
"20","  9    5  본지그           한     암     3    53.0   부민호 홍대유   지대섭           "
"21"," 10    9  블루매직         한     수     3    54.0   김동균 안해양   이덕자           "
"22","────────────────────────────────────────"
"23","순위 마번    마      명    마 체 중 기  록  위  차 S1F-1C-2C-3C-4C-G1F"
"24","────────────────────────────────────────"
"25","  1    3  사일런트준       453( +3) 1:16.3            1-  -  - 1- 1- 1"
"26","  2    4  코리아챔프       497(+12) 1:16.6  1¾       2-  -  - 2- 2- 2"
"27","  3    6  여의주           493( -7) 1:16.9  1½       7-  -  - 7- 7- 7"
"28","  4    2  본스키           472( +0) 1:16.9  코        3-  -  - 3- 3- 3"
"29","  5    8  에버마스터       454( -3) 1:17.1  1¼      10-  -  - 9- 8- 8"
"30","  6    1  초원의아침       490(+17) 1:17.1  머리      5-  -  - 6- 6- 4"
"31","  7    7  화산연승         448(-18) 1:17.5  2½       4-  -  - 4- 5- 5"
"32","  8   10  맹호출림         449( +1) 1:18.3  4         9-  -  - 5- 4- 6"
"33","  9    5  본지그           468( -3) 1:18.4  목        6-  -  - 8- 9- 9"
"34"," 10    9  블루매직         458( +1) 1:18.8  2         8-  -  -10-10-10"
"35","────────────────────────────────────────"
"36","순위 마번    G-3Ｆ   S-1F  １코너  ２코너  ３코너  ４코너    G-1F  단승식 연승식"
"37","────────────────────────────────────────"
"38","  1    3   38.9    0:13.7                  0:25.0  0:43.5  13.9      13.7    3.7"
"39","  2    4   39.1    0:13.7                  0:25.2  0:43.6  13.8       4.0    1.5"
"40","  3    6   38.8    0:14.2                  0:25.7  0:44.5  13.3       2.6    1.3"
"41","  4    2   39.2    0:14.0                  0:25.4  0:44.0  13.8       4.0    1.7"
"42","  5    8   38.7    0:14.4                  0:26.1  0:44.7  13.4       9.3    2.0"
"43","  6    1   39.0    0:14.2                  0:25.7  0:44.2  13.7      19.2    4.3"
"44","  7    7   39.7    0:14.1                  0:25.4  0:44.1  14.1      13.2    2.8"
"45","  8   10   40.6    0:14.2                  0:25.5  0:44.0  14.7      38.4    6.9"
"46","  9    5   40.0    0:14.2                  0:25.9  0:44.7  14.5      39.7    7.9"
"47"," 10    9   39.5    0:14.2                  0:26.6  0:45.9  13.9      80.0   15.6"
"48","────────────────────────────────────────"
"49","(복승식 배당률)"
"50","           1- 2    52.2  2- 9   305.5  4- 7    16.6  6- 9   157.2  9-10   728.9"
