"","x"
"1",""
"2",""
"3","제목 : 11년06월11일(토)  제 1경주"
"4",""
"5","(서울) 제43일 1300M 국6    마령        경주명 : 일반                        "
"6","경주조건:     350점이하  3세이상                    날씨:맑음 주로:건조  (4%)"
"7","순위상금: 15,552천원   6,048천원   4,032천원   1,728천원   1,440천원"
"8","부가상금:      0천원       0천원       0천원"
"9","────────────────────────────────────────"
"10","순위 마번    마    명     산지  성별 연령 부담중량 기수명 조교사명  마 주 명"
"11","────────────────────────────────────────"
"12","  1    1  등태산           한     수     3    54.0   정평수 지용훈   박시용           "
"13","  2    9  플라이백         한     암     4    54.0   지하주 서인석   오호극           "
"14","  3    8  홀리마운틴       한(포) 암     4    54.0   이동국 신삼영   장철환           "
"15","  4    3  마이패밀리       한     수     4    52.0   유미라 박흥진   김도윤           "
"16","  5    7  프리랜드         한     암     4    50.0   이강서 하재흥   우순근           "
"17","  6   10  스위트멜로디     한     암     4    53.0   박시천 최혜식   박용훈           "
"18","  7    5  매직칸           한(포) 거     4    56.0   김석봉 신우철   김방철           "
"19","  8    6  국풍             한     암     4    54.0   김옥성 김학수   박재범           "
"20","  9   11  상천보검         한     거     4    56.0   최원준 지용철   김선식           "
"21"," 10    4  배트지존         한     거     4    56.0   박을운 박종곤   김정근           "
"22"," 11    2  해동태후         한     암     4    50.0   김정준 김효섭   김동호           "
"23","────────────────────────────────────────"
"24","순위 마번    마      명    마 체 중 기  록  위  차 S1F-1C-2C-3C-4C-G1F"
"25","────────────────────────────────────────"
"26","  1    1  등태산           498( +3) 1:23.3            1-  -  - 1- 1- 1"
"27","  2    9  플라이백         391( +9) 1:23.8  3        11-  -  -10- 9- 5"
"28","  3    8  홀리마운틴       458(-12) 1:24.0  1¼       3-  -  - 3- 3- 2"
"29","  4    3  마이패밀리       470( +7) 1:24.3  1½       7-  -  - 8- 8- 6"
"30","  5    7  프리랜드         420( +3) 1:24.5  1         2-  -  - 5- 5- 4"
"31","  6   10  스위트멜로디     443( -3) 1:24.6  ½        9-  -  -11-11- 7"
"32","  7    5  매직칸           521(+10) 1:25.1  3         6-  -  - 6- 6- 8"
"33","  8    6  국풍             441( -2) 1:25.3  1½       8-  -  - 2- 2- 3"
"34","  9   11  상천보검         495( +7) 1:25.9  3        10-  -  - 9-10-11"
"35"," 10    4  배트지존         461( +8) 1:26.0  ¾        5-  -  - 7- 7- 9"
"36"," 11    2  해동태후         440( +5) 1:27.6  9         4-  -  - 4- 4-10"
"37","────────────────────────────────────────"
"38","순위 마번    G-3Ｆ   S-1F  １코너  ２코너  ３코너  ４코너    G-1F  단승식 연승식"
"39","────────────────────────────────────────"
"40","  1    1   39.2    0:13.7                  0:31.8  0:50.3  13.5       1.6    1.0"
"41","  2    9   38.3    0:14.3                  0:32.8  0:51.8  13.0      28.3    4.5"
"42","  3    8   39.4    0:13.8                  0:31.9  0:51.0  13.6       8.8    2.0"
"43","  4    3   39.0    0:14.2                  0:32.5  0:51.7  13.3      16.1    2.7"
"44","  5    7   39.7    0:13.8                  0:32.2  0:51.4  13.7      19.7    4.9"
"45","  6   10   38.9    0:14.2                  0:32.8  0:52.1  13.5      16.5    3.7"
"46","  7    5   40.3    0:14.1                  0:32.2  0:51.5  14.0     124.8   16.8"
"47","  8    6   41.2    0:14.2                  0:31.8  0:50.4  14.5     118.1   19.0"
"48","  9   11   40.3    0:14.2                  0:32.6  0:52.0  14.2       3.8    1.3"
"49"," 10    4   40.7    0:14.1                  0:32.5  0:51.7  14.6      56.9    6.3"
