"","x"
"1",""
"2",""
"3","제목 : 11.05.21 제 37 일  토 요일   1경주;   "
"4",""
"5"," 1200 M   출주:12두    국6   ( 350점이하        3세       )     출발:11:10"
"6"," 마령          일반      "
"7","  15,552,000원    6,048,000원    4,032,000원    1,728,000원    1,440,000원 "
"8","--------------------------------------------------------------------------"
"9"," 마번  마   명        산지  성별 연령 중량    기  수    조교사  마  주"
"10","--------------------------------------------------------------------------"
"11","   1   동보환희        한    암   3  51.0  △장추열    신삼영  문석현              "
"12","   2   아라가야        한    거   3  54.0    문정균    배휴준  조금제              "
"13","   3   마이더스빅터    한    암   3  53.0    박병윤    안병기  박형인              "
"14","   4   분수령          한    암   3  53.0    부민호    정호익  김정철              "
"15","   5   대성천하        한    암   3  53.0    김동균    안해양  김석헌              "
"16","   6   윈블루          한    수   3  54.0    조인권    김호    지원철              "
"17","   7   삼뿌리          한    암   3  52.0  ☆박시천    고옥봉  전좌식              "
"18","   8   불패여제        한    암   3  53.0    오경환    김학수  김병묵              "
"19","   9   크립토벨        한    수   3  54.0    신형철    김윤섭  박선주              "
"20","  10   한혈천검        한    암   3  53.0    지하주    서인석  서정훈              "
"21","  11   우주강국        한    수   3  54.0    문세영    김일성  김재성a             "
"22","  12   굿파트너        한    암   3  53.0    유상완    천창기  장석영              "
"23","--------------------------------------------------------------------------"
"24","                                                  -- 총전적--  -1년전적-"
"25"," 마번  마  명               총점수 1년점수 6개월  1위/2위/계  1위/2위/계"
"26","--------------------------------------------------------------------------"
"27","   1   동보환희                  0      0      0    0  0   1    0  0   1"
"28","   2   아라가야                  0      0      0    0  0   1    0  0   1"
"29","   3   마이더스빅터              0      0      0    0  0   3    0  0   3"
"30","   4   분수령                    0      0      0    0  0  10    0  0  10"
"31","   5   대성천하                  0      0      0    0  0   3    0  0   3"
"32","   6   윈블루                    0      0      0    0  0   4    0  0   4"
"33","   7   삼뿌리                    0      0      0    0  0   2    0  0   2"
"34","   8   불패여제                  0      0      0    0  0   6    0  0   6"
"35","   9   크립토벨                180    180    180    0  1   6    0  1   6"
"36","  10   한혈천검                  0      0      0    0  0   4    0  0   4"
"37","  11   우주강국                  0      0      0    0  0   1    0  0   1"
"38","  12   굿파트너                110    110    110    0  0   8    0  0   8"
"39","--------------------------------------------------------------------------"
"40","※ 총점수 : 93년 개인마주제이후 1-3위점수          "
"41",""
"42",""
"43","제목 : 11.05.21 제 37 일  토 요일   2경주;   "
"44",""
"45"," 1200 M   출주:12두    국5   ( 800점이하        3세이상   )     출발:11:35"
"46"," 마령          일반      "
"47","  19,980,000원    7,770,000원    5,180,000원    2,220,000원    1,850,000원 "
"48","--------------------------------------------------------------------------"
"49"," 마번  마   명        산지  성별 연령 중량    기  수    조교사  마  주"
"50","--------------------------------------------------------------------------"
"51","   1   샤이닝스톰      한    수   3  54.0    정기용    배휴준  이성재              "
"52","   2   뉴찬스          한    거   3  54.0    박태종    임봉춘  김양호              "
"53","   3   트릭레이        한    수   4  56.0    김귀배    황영원  우빈레저            "
"54","   4   설마설마        한    암   4  54.0    최범현    양재철  박현종              "
"55","   5   신흥여걸        한    암   3  51.0  △박상우    박대흥  강남환              "
"56","   6   팍스코          한    거   3  54.0    김동균    안해양  임두인              "
"57","   7   초원대장        한    거   4  56.0    조인권    최상식  조동식              "
"58","   8   테이크오프      한    거   4  53.0  ▲이기웅    손영표  김지훈              "
"59","   9   대담함          한    거   4  56.0    김영진    박천서  권인택              "
"60","  10   빅블루          한    거   3  54.0    문정균    안병기  박정열              "
