"","x"
"1",""
"2",""
"3","제목 : 11.07.02 제 49 일  토 요일   1경주;   "
"4",""
"5"," 1300 M   출주:12두    국6   ( 350점이하        3세이상   )     출발:11:10"
"6"," 마령          일반      "
"7","  15,552,000원    6,048,000원    4,032,000원    1,728,000원    1,440,000원 "
"8","--------------------------------------------------------------------------"
"9"," 마번  마   명        산지  성별 연령 중량    기  수    조교사  마  주"
"10","--------------------------------------------------------------------------"
"11","   1   꿈의축제        한    암   3  54.0    조인권    김호    김휘남              "
"12","   2   말리웨이        한    거   3  55.0    전덕용    양재철  권태우              "
"13","   3   배트지존        한    거   4  57.0    방춘식    박종곤  김정근              "
"14","   4   매직초이스      한    암   4  55.0    윤영민    지용훈  박시용              "
"15","   5   실비아드리머    한    거   3  51.0  ●김정준    김호    김종식              "
"16","   6   마이에너지      한    수   3  54.0  ☆박시천    최혜식  박종률              "
"17","   7   마이패밀리      한    수   4  53.0  ●유미라    박흥진  김도윤              "
"18","   8   이화원          한    암   3  54.0    조경호    정호익  황철연              "
"19","   9   아리수          한    암   4  55.0    정기용    천창기  천병득              "
"20","  10   스톰플레이      한    암   4  55.0    마코토    서홍수  퓨리나코리아        "
"21","  11   바라는만큼      한    거   4  57.0    김영진    고옥봉  정이남              "
"22","  12   상천보검        한    거   4  57.0    최원준    지용철  김선식              "
"23","--------------------------------------------------------------------------"
"24","                                                  -- 총전적--  -1년전적-"
"25"," 마번  마  명               총점수 1년점수 6개월  1위/2위/계  1위/2위/계"
"26","--------------------------------------------------------------------------"
"27","   1   꿈의축제                  0      0      0    0  0   7    0  0   7"
"28","   2   말리웨이                  0      0      0    0  0   6    0  0   6"
"29","   3   배트지존                  0      0      0    0  0   9    0  0   9"
"30","   4   매직초이스              110    110    110    0  0  11    0  0   9"
"31","   5   실비아드리머              0      0      0    0  0   4    0  0   4"
"32","   6   마이에너지                0      0      0    0  0   7    0  0   7"
"33","   7   마이패밀리                0      0      0    0  0  20    0  0  14"
"34","   8   이화원                  110    110    110    0  0   5    0  0   5"
"35","   9   아리수                  110    110    110    0  0  18    0  0  12"
"36","  10   스톰플레이                0      0      0    0  0  13    0  0  11"
"37","  11   바라는만큼              220    220    110    0  0  18    0  0  10"
"38","  12   상천보검                290    290    290    0  1  10    0  1   8"
"39","--------------------------------------------------------------------------"
"40","※ 총점수 : 93년 개인마주제이후 1-3위점수          "
"41",""
"42",""
"43","제목 : 11.07.02 제 49 일  토 요일   2경주;   "
"44",""
"45"," 1300 M   출주:10두    국5   ( 800점이하        3세이상   )     출발:11:35"
"46"," 마령          일반      "
"47","  19,980,000원    7,770,000원    5,180,000원    2,220,000원    1,850,000원 "
"48","--------------------------------------------------------------------------"
"49"," 마번  마   명        산지  성별 연령 중량    기  수    조교사  마  주"
"50","--------------------------------------------------------------------------"
"51","   1   환상연주        한    거   3  51.0  ●김정준    김춘근  강동구              "
"52","   2   화인지프        한    수   4  57.0    김철호    곽영효  신항철              "
"53","   3   블루레이        한    수   3  55.0    전덕용    박흥진  홍상기              "
"54","   4   트릭오브리아    한    수   3  55.0    문정균    안병기  정수남              "
"55","   5   테이크오프      한    거   4  54.0  ▲이기웅    손영표  김지훈              "
"56","   6   커튼콜          한(포)수   3  56.0    이동국    신삼영  정춘복              "
"57","   7   쾌감행진        한    수   3  55.0    최범현    김명국  구본순              "
"58","   8   가람            한    암   3  54.0    오경환    황영원  정기찬              "
"59","   9   에이스볼트      한(포)수   3  55.0    문세영    김문갑  장석은              "
"60","  10   헌팅타임        한(포)거   3  55.0    마코토    김점오  장석영              "
