"","x"
"1",""
"2",""
"3","제목 : 11.05.14 제 35 일  토 요일   1경주;   "
"4",""
"5"," 1200 M   출주:10두    국5   ( 800점이하        3세이상   )     출발:11:10"
"6"," 마령          일반      "
"7","  19,980,000원    7,770,000원    5,180,000원    2,220,000원    1,850,000원 "
"8","--------------------------------------------------------------------------"
"9"," 마번  마   명        산지  성별 연령 중량    기  수    조교사  마  주"
"10","--------------------------------------------------------------------------"
"11","   1   커튼콜          한(포)수   3  55.0    이기회    신삼영  정춘복              "
"12","   2   히든챔피언      한    거   4  56.0    정기용    천창기  김명식              "
"13","   3   희망메시지      한    수   3  54.0    문세영    안병기  박용훈              "
"14","   4   치치카카        한    수   3  54.0    박병윤    하재흥  이상오              "
"15","   5   핑크팬더        한    수   3  54.0    부민호    서정하  김선교              "
"16","   6   연승연호        한    수   3  54.0    오경환    김문갑  김연호              "
"17","   7   환상연주        한    거   3  54.0    유상완    김춘근  강동구              "
"18","   8   왕깨비          한    수   3  54.0    최범현    박원덕  고광숙              "
"19","   9   강한태양        한    수   5  54.0  ▲이기웅    손영표  김채형              "
"20","  10   매직넘버        한    거   4  56.0    김동균    안해양  윤영기              "
"21","--------------------------------------------------------------------------"
"22","                                                  -- 총전적--  -1년전적-"
"23"," 마번  마  명               총점수 1년점수 6개월  1위/2위/계  1위/2위/계"
"24","--------------------------------------------------------------------------"
"25","   1   커튼콜                  400    400    400    0  1   8    0  1   7"
"26","   2   히든챔피언              400    400    400    1  0  10    1  0   5"
"27","   3   희망메시지              730    730    730    1  1   5    1  1   5"
"28","   4   치치카카                700    700    700    1  1   8    1  1   8"
"29","   5   핑크팬더                  0      0      0    0  0   4    0  0   4"
"30","   6   연승연호                360    360      0    0  2   8    0  2   8"
"31","   7   환상연주                690    690    690    1  1   7    1  1   7"
"32","   8   왕깨비                  400    400    400    1  0   7    1  0   7"
"33","   9   강한태양                790    210    210    1  2  19    0  1  10"
"34","  10   매직넘버                360    360    180    0  2  17    0  2  16"
"35","--------------------------------------------------------------------------"
"36","※ 총점수 : 93년 개인마주제이후 1-3위점수          "
"37",""
"38",""
"39","제목 : 11.05.14 제 35 일  토 요일   2경주;   "
"40",""
"41"," 1200 M   출주:12두    국5   ( 800점이하        3세이상   )     출발:11:35"
"42"," 마령          일반      "
"43","  19,980,000원    7,770,000원    5,180,000원    2,220,000원    1,850,000원 "
"44","--------------------------------------------------------------------------"
"45"," 마번  마   명        산지  성별 연령 중량    기  수    조교사  마  주"
"46","--------------------------------------------------------------------------"
"47","   1   추월추풍        한    암   4  54.0    김귀배    박희철  신영식              "
"48","   2   대성여제        한(포)암   3  53.0    박을운    구자흥  김석헌              "
"49","   3   행운천하        한    암   3  53.0    최범현    양재철  장철환              "
"50","   4   올웨이즈윈      한    암   4  54.0    정기용    이인호  김명식              "
"51","   5   스카이트레인    한(포)암   3  53.0    오경환    박대흥  (주)케이씨피        "
"52","   6   나이스터치      한    암   3  53.0    양희진    김문갑  장석은              "
"53","   7   와일드키티      한    암   3  53.0    정평수    지용훈  남기태              "
"54","   8   택선            한    암   3  53.0    문정균    임봉춘  권인택              "
"55","   9   과천마리로      한    암   4  50.0  ●유미라    최영주  김용래              "
"56","  10   뉴원            한    암   3  51.0  △박시천    고옥봉  전좌식              "
"57","  11   실버캣          한    암   3  53.0    함완식    김윤섭  박정열              "
"58","  12   늘상승          한    암   4  54.0    유상완    김춘근  권익현              "
"59","--------------------------------------------------------------------------"
"60","                                                  -- 총전적--  -1년전적-"
