"","x"
"1",""
"2",""
"3","제목 : 11.06.18 제 45 일  토 요일   1경주;   "
"4",""
"5"," 1200 M   출주:11두    국6   ( 350점이하        3세       )     출발:11:10"
"6"," 마령          일반      "
"7","  15,552,000원    6,048,000원    4,032,000원    1,728,000원    1,440,000원 "
"8","--------------------------------------------------------------------------"
"9"," 마번  마   명        산지  성별 연령 중량    기  수    조교사  마  주"
"10","--------------------------------------------------------------------------"
"11","   1   블루센세이션    한    거   3  54.0    이상혁    안병기  최건호              "
"12","   2   마이티포에버    한    암   3  53.0    함완식    손영표  최병권              "
"13","   3   가을요정        한    암   3  49.0  ●김정준    박원덕  고광숙              "
"14","   4   피콜로어게인    한(포)수   3  55.0    최범현    김효섭  김선식              "
"15","   5   피겨여왕        한    암   3  53.0    김옥성    천창기  김종욱              "
"16","   6   동보환희        한    암   3  53.0    이동국    신삼영  문석현              "
"17","   7   당대복          한    암   3  53.0    최원준    박윤규  권영원              "
"18","   8   아라가야        한    거   3  54.0    문정균    배휴준  조금제              "
"19","   9   서라벌영웅      한    거   3  54.0    전덕용    박천서  이상승              "
"20","  10   분수령          한    암   3  53.0    조경호    정호익  김정철              "
"21","  11   에이피발레      한    암   3  53.0    마코토    김학수  이덕자              "
"22","--------------------------------------------------------------------------"
"23","                                                  -- 총전적--  -1년전적-"
"24"," 마번  마  명               총점수 1년점수 6개월  1위/2위/계  1위/2위/계"
"25","--------------------------------------------------------------------------"
"26","   1   블루센세이션              0      0      0    0  0   0    0  0   0"
"27","   2   마이티포에버            170    170    170    0  0   4    0  0   4"
"28","   3   가을요정                  0      0      0    0  0   0    0  0   0"
"29","   4   피콜로어게인            330    330    330    0  0   8    0  0   8"
"30","   5   피겨여왕                180    180    180    0  1   7    0  1   7"
"31","   6   동보환희                  0      0      0    0  0   2    0  0   2"
"32","   7   당대복                    0      0      0    0  0   1    0  0   1"
"33","   8   아라가야                  0      0      0    0  0   2    0  0   2"
"34","   9   서라벌영웅              110    110    110    0  0   5    0  0   5"
"35","  10   분수령                    0      0      0    0  0  12    0  0  12"
"36","  11   에이피발레              290    290    290    0  1   5    0  1   5"
"37","--------------------------------------------------------------------------"
"38","※ 총점수 : 93년 개인마주제이후 1-3위점수          "
"39",""
"40",""
"41","제목 : 11.06.18 제 45 일  토 요일   2경주;   "
"42",""
"43"," 1200 M   출주:12두    국5   ( 800점이하        3세이상   )     출발:11:35"
"44"," 마령          일반      "
"45","  19,980,000원    7,770,000원    5,180,000원    2,220,000원    1,850,000원 "
"46","--------------------------------------------------------------------------"
"47"," 마번  마   명        산지  성별 연령 중량    기  수    조교사  마  주"
"48","--------------------------------------------------------------------------"
"49","   1   제트블리스      한    암   4  54.0    하마다    김명국  박양호              "
"50","   2   헤로인          한    암   4  54.0    이상혁    박천서  김봉섭              "
"51","   3   베스트롱        한    수   3  54.0    문정균    김윤섭  이영록              "
"52","   4   뉴페가수스      한    암   4  50.0  ●김정준    김효섭  박남신              "
"53","   5   뷰티캣          한    암   3  53.0    마코토    정호익  차미성              "
"54","   6   돌풍질주        한    암   2  53.0    정기용    강명준  권인택              "
"55","   7   블랙선더        한    암   3  51.0  △박상우    박대흥  최애식              "
"56","   8   나비꿈          한    암   3  53.0    이준철    김대근  김경민              "
"57","   9   스페셜윈        한    수   3  54.0    신형철    박원덕  이미경              "
"58","  10   화산의명가      한    암   4  54.0    원정일    박종곤  고광숙              "
"59","  11   블루차밍        한(포)암   3  51.0  △김혜선    김일성  강태은              "
"60","  12   설마설마        한    암   4  54.0    최범현    양재철  박현종              "
