"","x"
"1",""
"2",""
"3","제목 : 11.04.30 제 31 일  토 요일   1경주;   "
"4",""
"5"," 1200 M   출주:12두    국6   ( 350점이하        3세       )     출발:11:10"
"6"," 마령          일반      "
"7","  15,552,000원    6,048,000원    4,032,000원    1,728,000원    1,440,000원 "
"8","--------------------------------------------------------------------------"
"9"," 마번  마   명        산지  성별 연령 중량    기  수    조교사  마  주"
"10","--------------------------------------------------------------------------"
"11","   1   퍼펙트카        한    수   3  52.0  △장추열    배대선  이승근              "
"12","   2   과천번개        한    거   3  54.0    문정균    배휴준  서상주              "
"13","   3   마이에너지      한    수   3  52.0  △박시천    최혜식  박종률              "
"14","   4   해피프린세스    한    암   3  53.0    전덕용    박종곤  이웅열              "
"15","   5   금빛기사        한    암   3  53.0    김석봉    최영주  이승택              "
"16","   6   메니피매직      한    암   3  53.0    정평수    지용훈  남기태              "
"17","   7   정상회의        한    수   3  54.0    박병윤    하재흥  이유환              "
"18","   8   가람            한    암   3  53.0    윤영민    황영원  정기찬              "
"19","   9   레드머니        한    수   3  51.0  ▲김혜선    김일성  일진코스메틱        "
"20","  10   라온프리덤      한    거   3  54.0    오경환    박천서  라온건설            "
"21","  11   제트존슨        한    수   3  54.0    하마다    김효섭  이관형              "
"22","  12   버스터빌리      한    거   3  52.0  △박상우    김일성  조창규              "
"23","--------------------------------------------------------------------------"
"24","                                                  -- 총전적--  -1년전적-"
"25"," 마번  마  명               총점수 1년점수 6개월  1위/2위/계  1위/2위/계"
"26","--------------------------------------------------------------------------"
"27","   1   퍼펙트카                290    290    290    0  1   5    0  1   5"
"28","   2   과천번개                  0      0      0    0  0   4    0  0   4"
"29","   3   마이에너지                0      0      0    0  0   6    0  0   6"
"30","   4   해피프린세스              0      0      0    0  0   1    0  0   1"
"31","   5   금빛기사                  0      0      0    0  0   1    0  0   1"
"32","   6   메니피매직                0      0      0    0  0   8    0  0   8"
"33","   7   정상회의                  0      0      0    0  0   5    0  0   5"
"34","   8   가람                      0      0      0    0  0   3    0  0   3"
"35","   9   레드머니                  0      0      0    0  0   7    0  0   7"
"36","  10   라온프리덤                0      0      0    0  0   1    0  0   1"
"37","  11   제트존슨                  0      0      0    0  0   2    0  0   2"
"38","  12   버스터빌리                0      0      0    0  0   6    0  0   6"
"39","--------------------------------------------------------------------------"
"40","※ 총점수 : 93년 개인마주제이후 1-3위점수          "
"41",""
"42",""
"43","제목 : 11.04.30 제 31 일  토 요일   2경주;   "
"44",""
"45"," 1300 M   출주:12두    혼4   ( 1,600점이하      3세이상   )     출발:11:35"
"46"," 마령          일반      "
"47","  17,550,000원    6,825,000원    4,550,000원    1,950,000원    1,625,000원 "
"48","--------------------------------------------------------------------------"
"49"," 마번  마   명        산지  성별 연령 중량    기  수    조교사  마  주"
"50","--------------------------------------------------------------------------"
"51","   1   도룡도          한    수   5  55.0    함완식    김순근  김동호              "
"52","   2   디지털스크린    뉴    수   2  53.0    최범현    정지은  강동구              "
"53","   3   스톰삭스        미    암   3  53.0    김영진    서정하  김창식              "
"54","   4   샌드칸          미    수   3  54.0    신대전    유재길  황철연              "
"55","   5   블랙밀리언      미    거   5  53.0  ●유미라    최영주  이건행              "
"56","   6   비호지세        뉴    수   3  55.0    이애리    홍대유  노병석              "
"57","   7   과천왕자        뉴    거   3  55.0    이기회    김춘근  이장한              "
"58","   8   닥터드류먼      미    수   3  54.0    문정균    김순근  한선호              "
"59","   9   러닝스마트      뉴    거   2  53.0    김동철    지용철  곽태훈              "
"60","  10   소천하          뉴    암   2  53.0    정평수    지용훈  박시용              "
